run_id,config,seed,n_robots,bid_mode,treat_threshold,rep,energy_capacity_j,status,returncode,wall_s,timeout_s,mission_time_s,sweeps_complete,total_energy_j,max_energy_j,min_energy_j,energy_spread_j,total_distance_m,treatments,weeds_treated_frac,intra_row_treated_frac,precision,redundant_treatments,duplicate_task_treatments,split_brain_awards,reannounce_events,abandon_events,git_sha,git_dirty,out_dir,command
base_s0_n4_distance_r1,base,0,4,distance,0.5,1,16000.0,ok,0,319.59,2400.0,1682,4,36566.0,11596.0,5720.0,5876.0,2639.9,118,0.7974683544303798,0.8703703703703703,0.5338983050847458,32,0,0,1,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s0_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s0_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s0_n4_distance_r2,base,0,4,distance,0.5,2,16000.0,ok,0,388.33,2400.0,2160,4,46771.0,14706.0,8783.0,5923.0,3436.0,127,0.7468354430379747,0.6851851851851852,0.4645669291338583,31,0,0,3,1,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s0_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s0_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s0_n4_confidence_energy_r1,base,0,4,confidence_energy,0.5,1,16000.0,ok,0,391.15,2400.0,2092,4,43281.0,14592.0,6320.0,8272.0,3162.2,122,0.7468354430379747,0.7592592592592593,0.48360655737704916,28,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s0_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s0_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s0_n4_confidence_energy_r2,base,0,4,confidence_energy,0.5,2,16000.0,ok,0,317.45,2400.0,1735,4,37093.0,11806.0,7175.0,4631.0,2655.2,128,0.7974683544303798,0.8518518518518519,0.4921875,30,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s0_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s0_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s1_n4_distance_r1,base,1,4,distance,0.5,1,16000.0,ok,0,422.43,2400.0,2247,4,49757.0,14623.0,8588.0,6035.0,3681.6,126,0.7468354430379747,0.7407407407407407,0.46825396825396826,27,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s1_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s1_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s1_n4_distance_r2,base,1,4,distance,0.5,2,16000.0,ok,0,368.35,2400.0,1931,4,45080.0,13231.0,7011.0,6220.0,3332.9,118,0.7341772151898734,0.7592592592592593,0.4915254237288136,29,0,0,1,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s1_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s1_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s1_n4_confidence_energy_r1,base,1,4,confidence_energy,0.5,1,16000.0,ok,0,405.93,2400.0,2135,4,51791.0,14800.0,11450.0,3350.0,3841.0,133,0.7088607594936709,0.7037037037037037,0.42105263157894735,34,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s1_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s1_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s1_n4_confidence_energy_r2,base,1,4,confidence_energy,0.5,2,16000.0,ok,0,396.93,2400.0,2113,4,45686.0,14444.0,6613.0,7831.0,3383.8,113,0.6962025316455697,0.6481481481481481,0.48672566371681414,24,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s1_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s1_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s2_n4_distance_r1,base,2,4,distance,0.5,1,16000.0,ok,0,377.62,2400.0,2068,4,44162.0,14178.0,5986.0,8192.0,3254.7,115,0.6708860759493671,0.6530612244897959,0.4608695652173913,28,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s2_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=2 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s2_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s2_n4_distance_r2,base,2,4,distance,0.5,2,16000.0,ok,0,304.13,2400.0,1588,4,39358.0,11054.0,8526.0,2528.0,2908.9,106,0.6962025316455697,0.6938775510204082,0.5188679245283019,25,0,0,4,1,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s2_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=2 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s2_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
