run_id,config,seed,n_robots,bid_mode,treat_threshold,rep,energy_capacity_j,status,returncode,wall_s,timeout_s,mission_time_s,sweeps_complete,total_energy_j,max_energy_j,min_energy_j,energy_spread_j,total_distance_m,treatments,weeds_treated_frac,intra_row_treated_frac,precision,redundant_treatments,duplicate_task_treatments,split_brain_awards,reannounce_events,abandon_events,git_sha,git_dirty,out_dir,command
base_s0_n4_distance_r1,base,0,4,distance,0.5,1,22000.0,ok,0,327.53,2400.0,1745,4,40854.0,11758.0,7036.0,4722.0,2985.6,121,0.7721518987341772,0.7962962962962963,0.5041322314049587,29,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s0_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s0_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s0_n4_distance_r2,base,0,4,distance,0.5,2,22000.0,wall_timeout,0,2405.53,2400.0,,4,58747.0,20049.0,10404.0,9645.0,3533.7,169,0.7341772151898734,0.7592592592592593,0.3431952662721893,33,0,0,96,30,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s0_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s0_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s0_n4_confidence_energy_r1,base,0,4,confidence_energy,0.5,1,22000.0,ok,0,374.8,2400.0,2064,4,44643.0,14208.0,6204.0,8004.0,3260.1,129,0.7341772151898734,0.7592592592592593,0.4496124031007752,30,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s0_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s0_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s0_n4_confidence_energy_r2,base,0,4,confidence_energy,0.5,2,22000.0,ok,0,346.46,2400.0,1931,4,42933.0,13445.0,9255.0,4190.0,3121.4,131,0.759493670886076,0.7222222222222222,0.4580152671755725,35,0,0,5,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s0_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s0_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s1_n4_distance_r1,base,1,4,distance,0.5,1,22000.0,ok,0,506.82,2400.0,2793,4,60116.0,19670.0,8928.0,10742.0,4460.8,145,0.7721518987341772,0.7407407407407407,0.4206896551724138,26,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s1_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s1_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s1_n4_distance_r2,base,1,4,distance,0.5,2,22000.0,ok,0,432.29,2400.0,2397,4,56040.0,16532.0,9459.0,7073.0,4145.0,146,0.759493670886076,0.7592592592592593,0.410958904109589,32,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s1_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s1_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s1_n4_confidence_energy_r1,base,1,4,confidence_energy,0.5,1,22000.0,ok,0,478.4,2400.0,2676,4,55512.0,16910.0,8195.0,8715.0,4132.5,126,0.6962025316455697,0.6666666666666666,0.4365079365079365,23,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s1_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s1_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s1_n4_confidence_energy_r2,base,1,4,confidence_energy,0.5,2,22000.0,ok,0,391.94,2400.0,2157,4,54685.0,14999.0,12114.0,2885.0,4115.7,119,0.7341772151898734,0.7222222222222222,0.48739495798319327,25,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s1_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s1_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s2_n4_distance_r1,base,2,4,distance,0.5,1,22000.0,ok,0,357.68,2400.0,1991,4,44035.0,13911.0,9215.0,4696.0,3246.7,116,0.6835443037974683,0.6530612244897959,0.46551724137931033,30,0,1,1,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s2_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=2 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s2_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s2_n4_distance_r2,base,2,4,distance,0.5,2,22000.0,ok,0,344.64,2400.0,1928,4,44508.0,13446.0,10123.0,3323.0,3297.8,113,0.7088607594936709,0.6122448979591837,0.49557522123893805,28,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s2_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=2 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s2_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
